Team ID,Team,Team Meet ID,Meet Date,Home/Away,Opponents,Meet Name,Meet ID,Gymnast ID,Name,VT,UB,BB,FX,AA
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,31652,Amber Boll,9.65,9.8,9.8,,
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,31653,Velandra Brochi,9.65,9.7,9.775,9.8,38.925
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,32179,Madison Carlisle,,9.6,,9.625,
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,30582,Briona Carswell,,,9.725,9.825,
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,32180,Kylee  Greene,9.7,,9.8,9.825,
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,31658,Ayla McKean,9.6,9.65,,,
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,31659,Gabriella Meccia,9.55,,,,
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,30800,Grace Nelson,9.525,8.95,,,
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,31661,Genevieve Sabado,,,9.75,9.75,
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,32185,Grace Willis,,,,9.2,
1,Air Force,27966,2023-01-16,H,San Jose State,,5646,31664,Leilani Zander,,9.575,8.925,,
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,31652,Amber Boll,9.75,9.65,9.8,,
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,31653,Velandra Brochi,9.6,8.9,9.7,9.8,38.0
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,32179,Madison Carlisle,,9.7,,9.75,
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,30582,Briona Carswell,,,9.85,9.725,
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,32180,Kylee  Greene,9.725,,9.725,9.825,
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,31658,Ayla McKean,9.625,9.675,9.175,9.7,38.175
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,31659,Gabriella Meccia,9.675,,,,
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,30800,Grace Nelson,9.675,9.2,,,
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,32185,Grace Willis,,,,9.5,
1,Air Force,28010,2023-01-20,A,Centenary/Texas Woman's/UW-Eau Claire,,5662,31664,Leilani Zander,,9.575,9.6,,
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,31652,Amber Boll,9.5,9.65,9.1,,
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,31653,Velandra Brochi,9.6,9.75,9.65,9.825,38.825
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,32179,Madison Carlisle,,9.7,,9.6,
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,30582,Briona Carswell,,,9.175,9.75,
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,32180,Kylee  Greene,9.425,,9.775,9.775,
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,31658,Ayla McKean,9.625,9.625,9.6,9.775,38.625
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,31659,Gabriella Meccia,9.75,,,,
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,30800,Grace Nelson,9.575,9.75,,,
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,32185,Grace Willis,,,,8.825,
1,Air Force,28124,2023-01-29,A,Alaska/UC Davis,,5712,31664,Leilani Zander,,9.525,9.75,,
1,Air Force,28150,2023-02-03,H,Sacramento State,,5722,31652,Amber Boll,9.775,9.8,9.85,,
1,Air Force,28150,2023-02-03,H,Sacramento State,,5722,31653,Velandra Brochi,9.7,9.6,9.8,9.8,38.9
1,Air Force,28150,2023-02-03,H,Sacramento State,,5722,30582,Briona Carswell,,,9.85,9.725,
1,Air Force,28150,2023-02-03,H,Sacramento State,,5722,32180,Kylee  Greene,9.7,9.65,9.675,9.825,38.85
1,Air Force,28150,2023-02-03,H,Sacramento State,,5722,31658,Ayla McKean,,9.6,9.9,9.8,
1,Air Force,28150,2023-02-03,H,Sacramento State,,5722,31659,Gabriella Meccia,9.625,,,9.65,
1,Air Force,28150,2023-02-03,H,Sacramento State,,5722,30800,Grace Nelson,9.65,9.675,,,
1,Air Force,28150,2023-02-03,H,Sacramento State,,5722,32185,Grace Willis,9.55,,,9.025,
1,Air Force,28150,2023-02-03,H,Sacramento State,,5722,31664,Leilani Zander,,9.65,9.675,,
1,Air Force,28761,2023-02-05,A,Denver/George Washington/Pittsburgh,,5755,31652,Amber Boll,9.575,9.525,9.8,,
1,Air Force,28761,2023-02-05,A,Denver/George Washington/Pittsburgh,,5755,31653,Velandra Brochi,9.625,9.75,9.55,9.525,38.45
1,Air Force,28761,2023-02-05,A,Denver/George Washington/Pittsburgh,,5755,30582,Briona Carswell,,,9.675,9.525,
1,Air Force,28761,2023-02-05,A,Denver/George Washington/Pittsburgh,,5755,32180,Kylee  Greene,9.675,9.6,9.7,9.3,38.275
1,Air Force,28761,2023-02-05,A,Denver/George Washington/Pittsburgh,,5755,31658,Ayla McKean,9.65,9.75,9.175,9.6,38.175
1,Air Force,28761,2023-02-05,A,Denver/George Washington/Pittsburgh,,5755,31659,Gabriella Meccia,,,,9.6,
1,Air Force,28761,2023-02-05,A,Denver/George Washington/Pittsburgh,,5755,30800,Grace Nelson,9.575,9.65,,,
1,Air Force,28761,2023-02-05,A,Denver/George Washington/Pittsburgh,,5755,32185,Grace Willis,9.6,,,9.45,
1,Air Force,28761,2023-02-05,A,Denver/George Washington/Pittsburgh,,5755,31664,Leilani Zander,,9.6,9.575,,
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,31652,Amber Boll,9.775,9.8,,,
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,31653,Velandra Brochi,9.675,9.75,9.8,9.725,38.95
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,30582,Briona Carswell,,,9.825,8.85,
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,32180,Kylee  Greene,9.7,9.7,9.65,9.775,38.825
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,32182,Gianna Martyna,,,,9.475,
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,31658,Ayla McKean,,9.65,9.15,9.625,
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,31659,Gabriella Meccia,9.75,,,9.225,
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,30800,Grace Nelson,8.875,9.175,,,
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,32185,Grace Willis,9.725,,9.15,,
1,Air Force,28270,2023-02-10,A,San Jose State,,5775,31664,Leilani Zander,,9.675,9.825,,
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,31652,Amber Boll,9.75,9.9,9.7,,
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,31653,Velandra Brochi,9.725,9.825,9.8,9.825,39.175
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,32179,Madison Carlisle,,9.775,,,
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,30582,Briona Carswell,,,9.875,9.65,
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,32180,Kylee  Greene,9.6,,9.8,9.825,
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,32182,Gianna Martyna,,,,9.65,
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,31658,Ayla McKean,9.65,9.8,9.175,9.8,38.425
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,31659,Gabriella Meccia,9.6,,,9.65,
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,30800,Grace Nelson,,9.775,,,
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,32185,Grace Willis,9.65,,,,
1,Air Force,28323,2023-02-17,H,Denver/UC Davis,,5796,31664,Leilani Zander,,9.775,9.75,,
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,31652,Amber Boll,9.675,9.775,9.825,,
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,31653,Velandra Brochi,9.75,9.825,9.85,9.825,39.25
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,32179,Madison Carlisle,,9.775,,,
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,30582,Briona Carswell,,,9.775,9.725,
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,32180,Kylee  Greene,9.75,,9.825,9.825,
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,31656,Alexa Kabat,,,,9.125,
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,31658,Ayla McKean,9.7,9.775,9.85,9.8,39.125
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,31659,Gabriella Meccia,9.675,,,9.75,
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,30800,Grace Nelson,,9.75,,,
1,Air Force,28437,2023-02-24,A,Sacramento State,,5847,32185,Grace Willis,9.75,,,,
